version	model	data	zh_en_bleu	zh_en_comet	en_zh_bleu	en_zh_comet	status	description
v4	0.6B-instruct	X-ALMA 14K	17.01	0.7649	29.84	0.8175	baseline	instruct model, X-ALMA only
v6	0.6B-instruct	ALMA+X-ALMA 44K	17.36	0.7645	30.00	0.8187	discard	instruct, +ALMA Human barely helps
base_v3	0.6B-Base	ALMA+X-ALMA 44K	18.03	0.7627	32.26	0.8227	keep	Base model, ChatML+im_end eos, best 0.6B
1.7b_base_v2	1.7B-Base	ALMA+X-ALMA 44K	21.58	0.7924	39.82	0.8556	BEST	Base model, ChatML+im_end eos
1.7b_freeze	1.7B-Base	ALMA+X-ALMA 44K	4.46	0.4148	3.34	0.4208	discard	Freeze embedding → completely broken
1.7b_cpo_v1	1.7B-Base+LoRA	CPO 44K pref lr=1e-5	1.20	0.5320	1.01	0.5688	discard	DPO ref_model=None broke model
1.7b_cpo_v2	1.7B-Base+LoRA	CPO 44K pref lr=1e-4	1.44	0.4693	0.70	0.5957	discard	Same problem, lr=1e-4 even worse. DPO≠CPO
1.7b_cpo_v3	1.7B-Base+LoRA	Proper CPO lr=1e-4	20.34	0.8107	35.48	0.8645	BEST	Real CPO with NLL loss! zh-en +0.018, en-zh +0.009
1.7b_alma_r	1.7B-Base+LoRA	ALMA-R pref 4.7K	19.76	0.7995	36.72	0.8618	keep	ALMA-R data less effective than self-generated (WMT22)
WMT23_hymt	HY-MT1.5-1.8B	-	17.84	0.8052	31.74	0.8669	baseline	WMT23 baseline target
WMT23_sft	1.7B-Base	ALMA+X-ALMA 44K	19.65	0.7863	40.74	0.8384	baseline	WMT23 SFT baseline
WMT23_cpo_v3	1.7B-Base+LoRA	self-gen 44K pref	20.39	0.8005	34.06	0.8463	BEST	WMT23 CPO v3 (gap to HY-MT: zh-en -0.005, en-zh -0.021)
WMT23_cpo_xalma	1.7B-Base+LoRA	X-ALMA 30K pref	17.60	0.7940	32.11	0.8426	discard	X-ALMA off-policy worse than self-gen
WMT23_cpo_alma_mix	1.7B-Base+LoRA	ALMA-R+X-ALMA 35K	18.06	0.7963	31.63	0.8442	discard	Mix also worse than self-gen
WMT23_cpo_iter2	1.7B-CPOv3+LoRA	self-gen v2 44K	22.66	0.7983	40.16	0.8458	discard	Iterative round 2 no improvement
WMT23_cpo_full	1.7B-Base full	self-gen 44K	20.20	0.7936	37.70	0.8440	discard	Full finetune CPO worse than LoRA
WMT23_sft_enhanced	1.7B-Base	ALMA+distill 112K	19.00	0.7769	35.47	0.8492	keep	More en→zh data: en-zh +0.011 but zh-en dropped
WMT23_enhanced_cpo	1.7B-enhanced+LoRA	self-gen 44K	18.68	0.7949	33.79	0.8417	discard	CPO on enhanced SFT didn't help
WMT23_sft_balanced	1.7B-Base	balanced 37K	15.51	0.7737	34.45	0.8489	discard	Balanced 50:50 but zh-en dropped more
WMT23_balanced_cpo	1.7B-balanced+LoRA	self-gen 44K	18.20	0.7950	33.46	0.8380	discard	Balanced SFT + CPO worse than CPO v3
WMT23_exp_b	1.7B-Base+LoRA	GPT4-chosen vs greedy 6K	18.67	0.7918	38.00	0.8515	keep	en-zh improved +0.005! but zh-en dropped
WMT23_exp_c	1.7B-Base+LoRA	ALMA-R+XALMA chosen vs greedy 37K	17.82	0.7925	34.28	0.8492	keep	More data but slightly worse than exp B
WMT23_hymt7b	HY-MT1.5-7B	-	21.31	0.8121	33.99	0.8679	baseline	HY-MT 7B on our eval setup (paper: 0.8052/0.8669)
WMT23_cpo_full_expb	1.7B-Base full	GPT4-chosen 6K lr=1e-5 beta=0.05	14.35	0.7658	8.79	0.5921	discard	Full param CPO catastrophic on small clean data, en-zh collapsed
WMT23_cpo_7b_lora	1.7B-Base+LoRA	HY-MT7B chosen 6K lr=1e-4 beta=0.05	10.21	0.7422	12.23	0.7495	discard	No COMET filter, HY-MT length+style mismatch confused model
WMT23_sft_cqia	1.7B-Base	80%trans+20%CQIA 46K max_len=512	9.19	0.6852	9.35	0.6171	discard	Token imbalance: general=62% by tokens (avg 540 vs 78). Need filter <256.
WMT23_cpo_v3_plus_7b	1.7B-Base+LoRA	v3 44K, 7B chosen replaces 25.7%	19.16	0.8017	32.69	0.8507	BEST	7B in candidate pool: zh-en new best, en-zh +0.0044 over v3. Best balanced model.
WMT23_cpo_v3_7b_gpt4	1.7B-Base+LoRA	v3+7B 44K + GPT4-chosen 6K = 50K	17.73	0.7966	30.81	0.8478	discard	Adding GPT-4 6K diluted signal, worse than v3+7B. Quality>quantity again.
WMT23_sft_cqia_v2	1.7B-Base	80%trans+20%CQIA token-balanced 40K	15.93	0.7612	15.28	0.7139	discard	Token-balanced better than v1 but still -0.025/-0.125 vs pure SFT. General data hurts.
WMT23_sft_oasst_v2	1.7B-Base	80%trans+20%OpenAssistant token-balanced 41K	18.82	0.7724	13.12	0.6321	discard	zh-en ok (oasst has English) but en-zh collapsed. General data hurts dedicated translator.
